id,make,doors,body_style,drive,curb_weight,cylinders,horsepower,mpg,price
1,alfa-romero,two,convertible,rwd,2548,four,111,27,13495
2,alfa-romero,two,convertible,rwd,2548,four,111,27,16500
3,alfa-romero,two,hatchback,rwd,2823,six,154,26,16500
4,audi,four,sedan,fwd,2337,four,102,30,13950
5,audi,four,sedan,4wd,2824,five,115,22,17450
6,audi,two,sedan,fwd,2507,five,110,25,15250
7,audi,four,sedan,fwd,2844,five,110,25,17710
8,audi,four,wagon,fwd,2954,five,110,25,18920
9,audi,four,sedan,fwd,3086,five,140,20,23875
10,audi,two,hatchback,4wd,3053,five,160,22,11999
11,bmw,two,sedan,rwd,2395,four,101,29,16430
12,bmw,four,sedan,rwd,2395,four,101,29,16925
13,bmw,two,sedan,rwd,2710,six,121,28,20970
14,bmw,four,sedan,rwd,2765,six,121,28,21105
15,bmw,four,sedan,rwd,3055,six,121,25,24565
16,bmw,four,sedan,rwd,3230,six,182,22,30760
17,bmw,two,sedan,rwd,3380,six,182,22,41315
18,bmw,four,sedan,rwd,3505,six,182,20,36880
19,chevrolet,two,hatchback,fwd,1488,three,48,53,5151
20,chevrolet,two,hatchback,fwd,1874,four,70,43,6295
21,chevrolet,four,sedan,fwd,1909,four,70,43,6575
22,dodge,two,hatchback,fwd,1876,four,68,41,5572
23,dodge,two,hatchback,fwd,1876,four,68,38,6377
24,dodge,two,hatchback,fwd,2128,four,102,30,7957
25,dodge,four,hatchback,fwd,1967,four,68,38,6229
26,dodge,four,sedan,fwd,1989,four,68,38,6692
27,dodge,four,sedan,fwd,1989,four,68,38,7609
28,dodge,six,sedan,fwd,2191,four,102,30,8558
29,dodge,four,wagon,fwd,2535,four,88,30,8921
30,dodge,two,hatchback,fwd,2811,four,145,24,12964
31,honda,two,hatchback,fwd,1713,four,58,54,6479
32,honda,two,hatchback,fwd,1819,four,76,38,6855
33,honda,two,hatchback,fwd,1837,four,60,42,5399
34,honda,two,hatchback,fwd,1940,four,76,34,6529
